#separator:;
#html:true
#columns:German;German_Audio;English;Ukrainian;Example
die Unterschrift, -en;die Unterschrift;signature;підпис;Für die digitale Signatur wird keine physische Unterschrift mehr benötigt.
zahlbar;zahlbar;payable;до оплати;Der Rechnungsbetrag für das Hosting ist sofort nach Rechnungsstellung zahlbar.
zuverlässig;zuverlässig;reliable;надійний;Dieser Backup-Dienst arbeitet sehr zuverlässig im Hintergrund.
der Ärger (Sg.);der Ärger;anger, trouble;неприємність, гнів;Wir hatten viel Ärger mit dem instabilen WLAN-Router im Büro.
der Artikel, -;der Artikel;article;стаття, товар;Ich habe einen interessanten Artikel über Microservices auf Medium gelesen.
beschädigt;beschädigt;damaged;пошкоджений;Die Festplatte war beim Transport leider so stark beschädigt, dass kein Datenzugriff mehr möglich war.
die Beschwerde, -n;die Beschwerde;complaint;скарга;Nach dem fehlerhaften Update gab es zahlreiche Beschwerden von unseren Nutzern.
defekt;defekt;defective;несправний;Der Controller ist defekt und muss ausgetauscht werden.
dreckig;dreckig;dirty;брудний;Der Sensor der optischen Maus ist dreckig und muss gereinigt werden.
der Fleck, -en;der Fleck;stain;пляма;Auf dem Gehäuse des neuen Servers ist ein kleiner Fleck, was aber die Funktion nicht beeinträchtigt.
der Mangel, -;der Mangel;defect, lack;недолік;Die Dokumentation weist leider erhebliche Mängel auf.
peinlich;peinlich;embarrassing;соромно;Es war mir peinlich, dass ich den falschen Link in der E-Mail verschickt habe.
die Reklamation, -en;die Reklamation;reclamation, claim;рекламація, претензія;Die Reklamation der fehlerhaften Hardware wurde vom Support-Team sofort bearbeitet.
unvollständig;unvollständig;incomplete;неповний;Die API-Antwort ist unvollständig, da das Timeout-Limit erreicht wurde.
der Vorschlag, "-e;der Vorschlag;suggestion;пропозиція;Mein Vorschlag ist, die Datenbank-Abfragen mithilfe von Caching zu optimieren.
etw. zerbrechen (zerbricht, zerbrach, hat zerbrochen);zerbrechen;to break;розбивати;Vorsicht, das Glaspanel des Computergehäuses kann leicht zerbrechen.
etw. zerkratzen (zerkratzt, zerkratzte, hat zerkratzt);zerkratzen;to scratch;подряпати;Verwenden Sie nur weiche Tücher, um das Display nicht zu zerkratzen.
etw. zerreißen (zerriss, hat zerrissen);zerreißen;to tear;розривати;Der Systemadministrator hat das alte Fehlerprotokoll zerrissen.
jdn. ausreden lassen;ausreden lassen;to let someone finish speaking;давати комусь договорити;Lass den Product Owner bitte ausreden, bevor du deine technischen Bedenken äußerst.
die Bedeutung, -en;die Bedeutung;meaning;значення;Diese Fehlermeldung hat in diesem Kontext eine völlig neue Bedeutung.
die Erwartung, -en;die Erwartung;expectation;очікування;Die Performance der neuen Grafikkarte hat unsere Erwartungen weit übertroffen.
etw. klären (klärt, klärte, hat geklärt);klären;to clarify;з'ясовувати;Wir müssen im nächsten Meeting klären, welches Framework wir for das Backend nutzen wollen.
konkurrenzfähig;konkurrenzfähig;competitive;конкурентоспроможний;Um konkurrenzfähig zu bleiben, müssen wir die Ladezeit unserer App halbieren.
sich etw. leisten können (kann sich leisten, konnte sich leisten, hat sich leisten können);sich etw. leisten können;to be able to afford;могти собі дозволити;Dank der neuen Finanzierung können wir uns zwei zusätzliche Senior-Entwickler leisten.
einen Preisnachlass gewähren (gewährt, gewährte, hat gewährt);einen Preisnachlass gewähren;to grant a discount;надавати знижку;Da wir eine große Menge an Lizenzen kaufen, gewährt uns der Anbieter einen Preisnachlass.
treu bleiben (bleibt treu, blieb treu, ist treu geblieben);treu bleiben;to stay loyal;залишатися вірним;Unsere Kunden bleiben unserem Service treu, weil wir regelmäßig neue Features liefern.
unzufrieden;unzufrieden;dissatisfied;незадоволений;Das Team ist unzufrieden mit der Qualität der aktuellen Dokumentation.
vereinbart;vereinbart;agreed;узгоджений;Die API liefert die Daten nun im vereinbarten JSON-Format zurück.
sich etw. vor|stellen (stellt sich vor, stellte sich vor, hat sich vorgestellt);sich etw. vor|stellen;to imagine;уявляти;Können Sie sich vorstellen, das gesamte System auf eine Serverless-Architektur umzustellen?
der Alltag (Sg.);der Alltag;everyday life;будні, повсякденне життя;Der technische Wandel prägt unseren IT-Berufsalltag durch immer neue Frameworks.
der Anschluss, "-e;der Anschluss;connection;підключення;Der neue Glasfaser-Anschluss im Rechenzentrum ermöglicht deutlich höhere Upload-Raten.
die Anwendungsmöglichkeit, -en;die Anwendungsmöglichkeit;application possibility;можливість застосування;Die Docker-Technologie bietet vielfältige Anwendungsmöglichkeiten für die Microservices-Bereitstellung.
das Display, -s;das Display;display, screen;дисплей, екран;Das 4K-Display des neuen Laptops ist ideal für Grafikdesign und Coding geeignet.
einsatzbereit;einsatzbereit;ready for use;готовий до роботи;Die neue Staging-Umgebung ist ab sofort einsatzbereit für die finalen Tests.
das Festnetz (Sg.);das Festnetz;landline;стаціонарна мережа;Wir nutzen eine Cloud-Telefonanlage, die komplett ohne herkömmliches Festnetz auskommt.
das Gerät, -e;das Gerät;device;пристрій;Jedes Gerät im Netzwerk muss eine eindeutige IP-Adresse zugewiesen bekommen.
herunter|laden (lädt herunter, lud herunter, hat heruntergeladen);herunter|laden;to download;завантажувати;Bitte laden Sie sich die neueste Version von Git von der offiziellen Webseite herunter.
etw. installieren (installiert, installierte, hat installiert);installieren;to install;інсталювати;Der Systemadministrator muss den Sicherheitspatch auf allen Servern gleichzeitig installieren.
das Kommunikationsmittel, -;das Kommunikationsmittel;means of communication;засіб зв'язку;Slack ist in unserem Team das wichtigste Kommunikationsmittel für den schnellen Austausch.
leistungsfähig;leistungsfähig;powerful, efficient;потужний, продуктивний;Dieser neue M3-Chip ist extrem leistungsfähig für rechenintensive Kompiliervorgänge.
der Mobilfunk (Sg.);der Mobilfunk;mobile communications;мобільний зв'язок;Dank 5G-Mobilfunk können wir auch unterwegs problemlos an Video-Konferenzen teilnehmen.
multifunktional;multifunktional;multifunctional;багатофункціональний;Moderne IDEs sind multifunktional und bieten neben dem Code-Editor auch Debugging-Tools.
das Navi, -s;das Navi;sat nav, navigation system;навігатор;Das Navi nutzt Echtzeit-Daten aus der Cloud, um die beste Route zu berechnen.
das Navigationsgerät, -e;das Navigationsgerät;navigation device;навігатор;Die Firmware des Navigationsgeräts muss regelmäßig über das Internet aktualisiert werden.
problemlos;problemlos;problem-free;без проблем;Die Migration der Datenbank von MySQL zu PostgreSQL verlief dank guter Vorbereitung problemlos.
das Risiko, Risiken;das Risiko;risk;ризик;Das größte Risiko bei diesem Projekt ist die Abhängigkeit von einer veralteten API.
sinken (sinkt, sank, ist gesunken);sinken;to sink, to decrease;падати, знижуватися;Die Kosten für Cloud-Speicherplatz sind im letzten Jahr kontinuierlich gesunken.
die Tastatur, -en;die Tastatur;keyboard;клавіатура;Mechanische Tastaturen sind bei vielen Softwareentwicklern wegen des besseren Schreibgefühls sehr beliebt.
verfügbar;verfügbar;available;доступний;Der neue Endpunkt unserer REST-API ist ab sofort in der Dokumentation verfügbar.
etw. weiterentwickeln (entwickelt weiter, entwickelte weiter, hat weiterentwickelt);weiterentwickeln;to develop further;розвивати далі;Wir müssen den Algorithmus zur Bilderkennung mithilfe von Machine Learning ständig weiterentwickeln.
die Zukunft (Sg.);die Zukunft;future;майбутнє;Die Zukunft der Webentwicklung liegt vermutlich in der Nutzung von WebAssembly.
in Zukunft;in Zukunft;in the future;у майбутньому;In Zukunft wollen wir unsere Infrastruktur komplett auf "Infrastructure as Code" umstellen.
die Arbeit erleichtern (erleichtert, erleichterte, hat erleichtert);die Arbeit erleichtern;to make work easier;полегшувати роботу;Künstliche Intelligenz kann Entwicklern die Arbeit erleichtern, indem sie Boilerplate-Code generiert.
die Daten (Pl.);die Daten;data;дані;Wir nutzen eine verschlüsselte SQL-Datenbank, um die persönlichen Daten unserer Nutzer zu schützen.
Daten missbrauchen (missbraucht, missbrauchte, hat missbraucht);Daten missbrauchen;to misuse data;зловживати даними;Durch unzureichende Verschlüsselung könnten Cyberkriminelle sensible Kundendaten missbrauchen.
nachteilig;nachteilig;disadvantageous;невигідний;Die Nutzung veralteter Bibliotheken kann sich nachteilig auf die Sicherheit der gesamten App auswirken.
papierlos;papierlos;paperless;безпеперовий;Wir nutzen digitale Tools wie Jira und Confluence, um ein komplett papierloses Projektmanagement zu ermöglichen.
die sozialen Netzwerke;die sozialen Netzwerke;social networks;соціальні мережі;Viele Unternehmen nutzen soziale Netzwerke wie LinkedIn, um neue IT-Talente zu finden.
speichern (speichert, speicherte, hat gespeichert);speichern;to save;зберігати;Die Anwendung muss die Benutzereinstellungen lokal im LocalStorage des Browsers speichern.
verzichten auf (+ Akk.) (verzichtet, verzichtete, hat verzichtet);verzichten auf;to do without;відмовлятися від;Kein modernes Unternehmen kann heute mehr auf eine eigene Webseite verzichten.
die Anforderung, -en;die Anforderung;requirement, demand;вимога;Die funktionalen Anforderungen an das System wurden in einem Lastenheft genau dokumentiert.
der Ausbildungsberuf, -e;der Ausbildungsberuf;recognized vocational profession;професія, що потребує спеціальної освіти;Fachinformatiker für Anwendungsentwicklung ist ein sehr gefragter Ausbildungsberuf.
beeinflussen (beeinflusst, beeinflusste, hat beeinflusst);beeinflussen;to influence;впливати;Die Wahl des Betriebssystems beeinflusst die Performance unserer Docker-Container massiv.
die Berufsaussicht, -en;die Berufsaussicht;career prospect;перспектива працевлаштування;Die Berufsaussichten für Experten im Bereich Cyber-Security sind derzeit exzellent.
die Digitalisierung (Sg.);die Digitalisierung;digitization;цифровізація;Die Digitalisierung interner Prozesse spart Unternehmen langfristig enorme Kosten.
die Eigenschaft, -en;die Eigenschaft;property, characteristic;властивість, якість;Die wichtigste Eigenschaft eines guten Programmierers ist logisches Denkvermögen.
der Erfolg, -e;der Erfolg;success;успіх;Der Erfolg unseres Startups hängt maßgeblich von der Skalierbarkeit unserer Plattform ab.
Erfolg haben;Erfolg haben;to have success;мати успіх;Wenn wir die User-Experience verbessern, werden wir mit unserer App sicher großen Erfolg haben.
fächerübergreifend;fächerübergreifend;interdisciplinary;міждисциплінарний;Wir planen ein fächerübergreifendes Projekt zwischen der Design-Abteilung und der IT.
die Gesprächs- und Verhandlungsführung (Sg.);die Gesprächs- und Verhandlungsführung;conversation and negotiation management;ведення переговорів;In dem Kurs man lernt, wie man die Gesprächs- und Verhandlungsführung mit IT-Dienstleistern verbessert.
interkulturell;interkulturell;intercultural;міжкультурний;In globalen IT-Teams ist interkulturelle Kompetenz für eine reibungslose Zusammenarbeit entscheidend.
der IT-Systemkaufmann, -leute / die IT-Systemkauffrau, -en;der IT-Systemkaufmann;IT systems management assistant;фахівець/-чиня з продажів ІТ-систем;IT-Systemkaufleute berechnen die Lizenzkosten für neue Unternehmenssoftware.
die Soft Skills (Pl.);die Soft Skills;soft skills;гнучкі навички;Neben technischem Fachwissen sind Soft Skills wie Kommunikationsfähigkeit für Entwickler unverzichtbar.
teamfähig;teamfähig;able to work in a team;здатний працювати в команді;Wir suchen neue Senior-Entwickler, die nicht nur technisch brillant, sondern auch teamfähig sind.
die Teamfähigkeit (Sg.);die Teamfähigkeit;ability to work in a team;вміння працювати в команді;Teamfähigkeit ist in agilen Scrum-Teams eine absolute Grundvoraussetzung.
die Umfrage, -n;die Umfrage;survey, poll;опитування;Die Ergebnisse der Umfrage unter den Beta-Testern zeigen eine hohe Zufriedenheit mit dem neuen Design.
wahrscheinlich;wahrscheinlich;probable, probably;ймовірно;Es ist sehr wahrscheinlich, dass wir das nächste Release-Datum aufgrund von Fehlern verschieben müssen.
Wert legen auf (+ Akk.) (legt, legte, hat gelegt);Wert legen auf;to attach importance to;надавати значення;Wir legen großen Wert auf eine saubere Code-Struktur und ausführliche Kommentare.
das Wissensmanagement (Sg.);das Wissensmanagement;knowledge management;управління знаннями;Ein gutes Wissensmanagement im Wiki hilft neuen Kollegen bei der Einarbeitung.
zuverlässig;zuverlässig;reliable;надійний;Unser neuer Load-Balancer arbeitet äußerst zuverlässig und verteilt die Anfragen effizient.
die Zuverlässigkeit (Pl. selten);die Zuverlässigkeit;reliability;надійність;Die Zuverlässigkeit der Backup-Systeme ist für den Schutz unserer Geschäftsdaten essenziell.
der Arbeitsablauf, "-e;der Arbeitsablauf;workflow;робочий процес;Durch die Nutzung von CI/CD-Pipelines konnten wir den gesamten Arbeitsablauf automatisieren.
die Automatisierung (Sg.);die Automatisierung;automation;автоматизація;Die Automatisierung von Standardaufgaben spart dem DevOps-Team viel Zeit und reduziert Fehler.
etw. ein|führen (führt ein, führte ein, hat eingeführt);ein|führen;to introduce;запроваджувати;Wir wollen im nächsten Monat eine neue Software zur automatischen Fehlersuche einführen.
die Einführung, -en;die Einführung;introduction;запровадження;Die Einführung der neuen Cloud-Plattform verlief reibungsloser als ursprünglich geplant.
etw. fern|steuern (steuert fern, steuerte fern, hat ferngesteuert);fern|steuern;to remote control;керувати дистанційно;Mithilfe von SSH kann man Linux-Server sicher von jedem Ort der Welt aus fernsteuern.
das Fließband, "-er;das Fließband;conveyor belt;конвеєр;In der modernen Software-Entwicklung ähnelt die Build-Pipeline einem digitalen Fließband.
die Informationstechnologie, -n;die Informationstechnologie;information technology (IT);інформаційні технології;Er leitet die Abteilung für Informationstechnologie bei einem mittelständischen Unternehmen.
das Internet der Dinge (Sg.);das Internet der Dinge;Internet of Things (IoT);інтернет речей;Das Internet der Dinge ermöglicht die Vernetzung von Sensoren direkt mit der Cloud.
der Sprachassistent, -en;der Sprachassistent;voice assistant;голосовий помічник;Unser neuer Sprachassistent nutzt Deep Learning, um Befehle besser zu verstehen.
die Vernetzung, -en;die Vernetzung;networking;мережування, поєднання;Die intelligente Vernetzung von IT-Systemen schafft völlig neue Möglichkeiten der Zusammenarbeit.
vielfältig;vielfältig;diverse, manifold;різноманітний;Die Einsatzmöglichkeiten von Python sind äußerst vielfältig, von Data Science bis Webentwicklung.
